title_clean,first_sentence
whar is on my head,when i awoke one morrning a cow was on my head
in a summers day,the air was moist
reason,the reason to live is funny
tea,a thing refreshes your mind
courage,bullying poem my heart begins to pound loudly
life,life is hard
your love,your love means everything to me
boyz,boys are cool to be with
spring,spring is warm spring is fun spring is great
waves,the moon shines on the waves
roses r red,roses r red roses r blu my svith country i love yo
thoughts of a pencil,you write and write
zero,all things begin at zero
my smiling friend,my friend is constantly smiling
lunch money,i am very hungry
one boy,one boy is right for me
special person,the one you love is like a dove
bob,there once was a boy named bob
my life,running
my mum brought me a cardboard box,my mum borught me a cardboard box
life,sometimes life can be so great
molly and savannahs crazy timespart 2,the pretty
psalm,happy is the lord
narrative,one day
hope,there's a thing called hope
free verse,google
the great mary liz t,i know a girl named mary liz t
best friends forever,best friends forever
my mind is like,my mind is like a balloon
women of history,harriet tubman
my bear fluffy,my bear is fluffed
homeless children,kids crying
lexi,lexi she has long and tall ears
gracie,her ears are like socks
friends,my friend sarai is like the sun
life,what is life? a puzzle full of twist and turns
mon me monica,i have deep dark brown eyes
your sun,if only i was your sun
hot summer day,on a summer day
i cant write a poem,i can't write a poem because
homework,homework is a drag
these three days,these three days i cried
my backpack,my backpack is full of things
poems,poems come in all shapes and sizes
imagine,imagine that i'm here with you
the stork,when i awoke one morning
the menacing lion,the lion roared
pink,what is pink? my pig is pink
pink,what is pink? the pig is pink
science,science is like the air we breathe
sun,sun bright
a new baby,my sister shes pregnant
my family,my family is very nuttie
taking risks,what do we do with risks
learn to read,i can't find the answer
weather warrior,the warrior has a sword of rain
a family,a family could be nice
my life portrays an ocean,my life portrays an ocean so powerful
me,i am good
the truth resides,when you see me around
boys,boys are funny
he is funy,he is so cute
bigboy,a big big boy big in a big car
kitty cat,my kitty cat is poofy and fluffy
my cloudfather,in the middle of nowhere
tunes of the dunes,the sun dressed in an orangish yellow
water fall,wet cold water drips calling all the water
ball,batting a ball lost in lolli land
angel of mine,i dream that i am flying
books,books are great
rose,there once was a ginger named rose
summer,summer is a break from life
insomnia,twilight
searching for someone who,searching for someone who cares for you
war is at you door,war is at our door
kayden,screaming and hollering
me and the unicorn,i saw a unicorn that day
my buddy,he is a brick wall
words,painful knives causes emotional scars hurtful
bullies,bullies mean
time,if your patience begins to sway
blue is beautiful,blue looks like clear sky
nobody really knows me,nobody really knows why i draw
nobody really knows me,i get mistaken for someone im not really am
mornings,when i awoke one morning
worry,the class assignment is due
the king,the king can rule all the town
my poem,almost every night i wake up
my secret,the feelings in a horses eye
love,love is all you need
thank you r aiden,my dog is small and black
crash and boom,the crash comes soon the boom
football,getting into your position waiting for the ball
me,i have black hair
my grandpa,my grandpa is as stong as a piece of steel
bio poem of nathaniel m,nathaniel who is smart
hug me,hug me
anatomy of a couch potato,welcome
me,my face is brown
violence,violence oh violence
colored mice,look
my birthday,a happy day of my life
i made a mistake,i went to the store to buy some bread
christmas day,it is christmas day and the kids go out to play
the rat and the cat,the rat asked for a hat
my own,my feet are wide
overtime,the game was still tied
sabrina,sabrina
water and fire,water is like silk
wind,it's your best friend
me,i am me&#x85; as unique as can be
millionaire,everyone is a millionaire
the last day of school,it's finally here
basket ball player,i'm a hard worken'
the beach,lying in the golden sand
a real friend,friends are here or there
my dog jack,my dog is really cool
green,green is the color that we all hate
camping,there is a poem that i am fond of
the shoe,this is the color of my shirt and
hope,the sea will slosh us
soccer,soccer is played with a ball
my dog,so very fluffy
the city,the buesy city rustles with sounds of birds chirp
myself,my eyes are as brown as a tree trunk
if i were,if i were a hawk
basketball,orange with black stripes bounces around dribble
animals,i love animals
cats,cats have mesmerizeing fur
my sister,hailey is happy
summer,summer is the best and i love what it brings
a poem for you,she is special
the bahams,i like the bahams i like the cool shoes
do you like me,i'm strong
within my reach,it was within my reach
me,i am as shy as a kitten
what if,what if i was an only child? i would be lonely
my mistake,i went home to get some steak
wet nose,a wet nose
no where to go,your crippled up
breathe,it splatters down the window
a mother is a wonderful thing,a mother is the one who tucks you in at night
best friend,you're my friend
my cat,there once was a cat named cuddles
you,you left me alone
i cant write a poem,not me
the right decision,doing nothing all day but sitting on the couch
when stuffed pigs fly,one day i looked into the sky
clay,when you play with your clay
my school is,my school is
nicolette,nicolette caring
i am somebody,i might be losing i might be winning
the darkest shoul,my shoul is a darke chage
unknowing,i see a girl
winning losing,winning powerful
colours,the freshness of red
beaches,breezy energy always calm heat exciting surfers
the volleyball game,we were down twenty to ten
a terrible journey,when you hear a harmful shriek
meaty,my dog is meaty
cats,roses are red
friends,crowding together for onre siple photo
senses,i see tall buildings
sky,the beautiful sky oh
dancing,gliding gracefully
under the sea,the sea is certainly not my cup of tea
my hair,i love my hair
springs here,when i awoke one morning a bird stood on my head
free verse bullying,me
campfire,sitting near the fire
the real me,happy
lucky me,lucky me lucky me like a bird in a tree
my teddy bear haley,a fury teddy bear
mr bug,i awoke one morining and a bug was on my head
potato chips,almost every afternoon
lessons in secrets,when you have a secret
starry sky,i looked unto a starry night
penguins,penguins are so very cute
me,my nose is long
my stuffed pig,it's pink it doesn't stink
nothing,i am that sliver of space between two slides
wiz,there once a boy called wiz
cake,almost everyday
your never alone,your never alone
flower,tall and beautiful the flower is growing
leaf eater,the stomping dinosour stomped across the land
i wonder,i wonder
the attic,there's a rumble in the attic
oj,oj thats my name; just don't be hating appreciate 
history of my friends,my friends are cool
the unusual hobby,i once had a gerbil named bobby
super bowl,runnning for the endzone run
the cat,the cat ate a hat and then got fat
the far star tar,when i awoke one morning
me myself and i,me
baby guniuea pigs,small white fur balls
the view from the beach,the sand between my toes
me myself and i,i am pretty i am nice i am fun and full of spice
msrinker,i know a person 
spring,s-snow is gone spring is here p-pup
pretty princess,pretty princess is my pet
fall leaves,fall
pat patty peterson,pat patty peterson pet a peacock that pecked her
the rock,the rock is round and gray
lust of young minds,dear joey
my dog,my dog has a big smile every time she sees you
the television in my classroom,the television is all black
